rank,spanish,english,form,infinitive
1,de,of/from,preposition,
2,la,the,article,
3,que,that/which,conjunction,
4,el,the,article,
5,en,in/on,preposition,
6,y,and,conjunction,
7,a,to/at,preposition,
8,los,the,article,
9,se,oneself/himself/herself,pronoun,
10,del,of the,preposition,
11,las,the,article,
12,un,a/an,article,
13,por,by/for,preposition,
14,con,with,preposition,
15,no,no/not,adverb,
16,una,a/an,article,
17,su,his/her/your/their,pronoun,
18,para,for/to,preposition,
19,es,he/she/it is,verb,ser
20,al,to the,preposition,
21,lo,it/the,pronoun,
22,como,like/as,conjunction,
23,más,more/most,adverb,
24,o,or,conjunction,
25,pero,but,conjunction,
26,sus,his/her/your/their,pronoun,
27,le,to him/her/you,pronoun,
28,ha,he/she has,verb,haber
29,me,me/to me,pronoun,
30,si,if,conjunction,
31,sin,without,preposition,
32,sobre,on/about,preposition,
33,este,this,pronoun,
34,ya,already/now,adverb,
35,entre,between/among,preposition,
36,cuando,when,conjunction,
37,todo,all/everything,pronoun,
38,esta,this,pronoun,
39,ser,to be,verb,ser
40,son,they are,verb,ser
41,dos,two,adjective,
42,también,also/too,adverb,
43,fue,he/she was/went,verb,ser/ir
44,había,there was/he/she had,verb,haber
45,era,he/she was,verb,ser
46,muy,very,adverb,
47,años,years,noun,
48,hasta,until/up to,preposition,
49,desde,from/since,preposition,
50,está,he/she is,verb,estar
51,mi,my,pronoun,
52,porque,because,conjunction,
53,qué,what/which,pronoun,
54,sólo,only,adverb,
55,han,they have,verb,haber
56,yo,I,pronoun,
57,hay,there is/are,verb,haber
58,vez,time/occasion,noun,
59,puede,he/she can,verb,poder
60,todos,all/everyone,pronoun,
61,así,thus/like this,adverb,
62,nos,us/to us,pronoun,
63,ni,nor/not even,conjunction,
64,parte,part,noun,
65,tiene,he/she has,verb,tener
66,él,he,pronoun,
67,uno,one,pronoun,
68,donde,where,adverb,
69,bien,well,adverb,
70,tiempo,time,noun,
71,mismo,same/self,adjective,
72,ese,that,pronoun,
73,ahora,now,adverb,
74,cada,each/every,adjective,
75,e,and,conjunction,
76,vida,life,noun,
77,otro,other/another,adjective,
78,después,after/later,adverb,
79,te,you/to you,pronoun,
80,otros,others,pronoun,
81,aunque,although/even though,conjunction,
82,esa,that,pronoun,
83,eso,that,pronoun,
84,hace,he/she does/makes,verb,hacer
85,otra,other/another,adjective,
86,gobierno,government,noun,
87,tan,so/such,adverb,
88,durante,during,preposition,
89,siempre,always,adverb,
90,día,day,noun,
91,tanto,so much,adverb,
92,ella,she,pronoun,
93,tres,three,adjective,
94,sí,yes,adverb,
95,dijo,he/she said,verb,decir
96,sido,been,verb,ser
97,gran,great/big,adjective,
98,país,country,noun,
99,según,according to,preposition,
100,menos,less/fewer,adverb,
